1000000,Thu Feb 28 14:51:59 +0000 2019,"pm narendra modi explains the relevance of communication at national youth parliament festival awards 2019


  "
1000001,Sat Mar 02 06:50:39 +0000 2019,"under prime minister narendra modi's ambitious scheme 'national health protection' scheme, 10 crore poor families will be given a cover of rs. 5 lakh per family annually. bjpvijaysankalpbikerally"
1000002,Wed Dec 19 05:14:06 +0000 2018,a delegation of bollywood producers and actors met prime minister narendra modi to discuss the issues being faced by the indian film industry with akshaykumar ajaydevgn karanjohar  
1000003,Sun Mar 03 06:46:57 +0000 2019,"darr accha hai | 7 fears that pm narendra modi thinks are good for india
 via namo app "
1000004,Sun Mar 03 17:19:49 +0000 2019,sign a petition to declare narendra modi as a global terrorist - sign the petition!  via 
1000005,Mon Mar 04 04:20:07 +0000 2019,"our public has still not fully appreciated the implications of global warming for india..there is therefore an urgency in raising public awareness about this issue.""  via "
1000006,Sat Mar 02 16:19:13 +0000 2019,"modi haters are now india haters, says pm narendra modi "
1000007,Fri Mar 01 15:52:38 +0000 2019,"pm narendra modi addresses bjp workers amid india-pakistan tensions, says &amp;039;india will work as one, stand as one&amp;039; "
1000008,Sat Mar 02 07:49:24 +0000 2019,"modihaintomumkinhai
welcome to bihar modi ji
best wishes for the coming future for us and you, narendra modi ji."
1000009,Sun Mar 03 16:22:33 +0000 2019,"  ashutosh  ji need no confirmation from you about his respect. if you have a proper passport and money in your pocket, go around the world, if not, move pan india. you will realise what is the respect and power associated with the narendra modi"
1000010,Thu Feb 28 16:14:02 +0000 2019,  can you handover gujrat massacre master mind the narendra modi.
1000011,Sat Mar 02 10:44:18 +0000 2019,"pm narendra modi says over 1.1 crore farmers have got kisan scheme payout 
 via namo app "
1000012,Sun Mar 03 16:46:06 +0000 2019,nitish kumar shares political stage with narendra modi after 9 years 
1000013,Thu Feb 28 17:27:51 +0000 2019,"prime minister narendra modi launches khelo india app to promote sports and fitness


via namo app "
1000014,Fri Mar 01 12:06:01 +0000 2019,"what a rubbish statement, whole world knows who is behind all the favourable results, sri. narendra modi. you should also know this. your statement is ridiculous. ofcourse bjp is in the gain. "
1000015,Sun Mar 03 07:45:29 +0000 2019,"mission2019 | nitish kumar has given a new direction of development to bihar: pm narendra modi in patna

tune in to watch live here-
"
1000016,Sat Mar 02 21:31:07 +0000 2019,"pm modi stole rs 30,00 crore from indian air force: rahul gandhi - equivalent to usd
$1.4 billion usd "
1000017,Sun Mar 03 06:53:53 +0000 2019,pm modi live | pm narendra modi addresses nda rally at patna bihar | bjp live 
1000018,Sun Mar 03 07:33:08 +0000 2019,"aggressive' stance of media in 2002 shaped narendra modi's strategy not to hold press conferences, says arun jaitley - firstpost "
1000019,Sun Mar 03 13:57:47 +0000 2019,"pm modi warns pak, rips into opposition at bihar rally. launching the lok sabha election campaign in bihar today, prime minister narendra modi took a swipe at the opposition parties, saying ""there's a competition to abuse the chowkidar"".

 "
1000020,Wed Feb 27 13:01:54 +0000 2019,"there is only one pilot under pakistan army’s custody: pak military spokesperson 
"
1000021,Sat Mar 02 09:15:43 +0000 2019,sign a petition to declare narendra modi as international terrorist - sign the petition!  via 
